"","Speaker","Date","word_sum","utterances","mlu"
"1","CHI",1963-06-04,413,211,1.95734597156398
"2","CHI",1963-10-28,226,125,1.808
"3","CHI",1963-10-30,580,319,1.81818181818182
"4","CHI",1963-11-11,642,417,1.53956834532374
"5","CHI",1963-11-14,239,148,1.61486486486486
"6","CHI",1963-11-18,300,213,1.40845070422535
"7","CHI",1963-11-20,452,274,1.64963503649635
"8","CHI",1963-12-02,508,324,1.5679012345679
"9","CHI",1963-12-04,739,388,1.90463917525773
"10","CHI",1963-12-09,409,258,1.58527131782946
"11","CHI",1963-12-11,707,460,1.53695652173913
"12","CHI",1963-12-18,607,340,1.78529411764706
"13","CHI",1963-12-31,541,306,1.76797385620915
"14","CHI",1964-01-07,520,303,1.71617161716172
"15","CHI",1964-01-18,394,188,2.09574468085106
"16","CHI",1964-01-22,584,346,1.6878612716763
"17","CHI",1964-02-05,743,464,1.60129310344828
"18","CHI",1964-02-12,916,489,1.87321063394683
"19","CHI",1964-02-22,184,101,1.82178217821782
"20","CHI",1964-02-28,481,282,1.70567375886525
"21","CHI",1964-03-04,757,374,2.02406417112299
"22","CHI",1964-03-11,325,181,1.79558011049724
"23","CHI",1964-03-20,539,290,1.85862068965517
"24","CHI",1964-03-25,696,348,2
"25","CHI",1964-04-17,1598,708,2.25706214689266
"26","CHI",1964-05-07,497,283,1.75618374558304
"27","CHI",1964-05-12,1190,585,2.03418803418803
"28","CHI",1964-05-21,448,212,2.11320754716981
"29","CHI",1964-05-28,852,352,2.42045454545455
"30","CHI",1964-06-12,550,223,2.46636771300448
"31","CHI",1964-06-16,640,318,2.0125786163522
"32","CHI",1964-06-25,695,291,2.38831615120275
"33","CHI",1964-07-09,1277,552,2.31340579710145
"34","CHI",1964-07-15,473,205,2.30731707317073
"35","CHI",1964-07-22,380,208,1.82692307692308
"36","CHI",1964-08-10,1719,635,2.70708661417323
"37","CHI",1964-08-19,731,300,2.43666666666667
"38","CHI",1964-08-26,620,233,2.66094420600858
"39","CHI",1964-09-02,890,363,2.45179063360882
"40","CHI",1964-09-09,637,280,2.275
"41","CHI",1964-09-16,791,309,2.55987055016181
